data_year,period,period_label,is_comparable_fy,metric,dim_type,dim_value_canon,dim_value_raw,scope,unit,value,report_id,report_year,is_provisional,confidence,source_file,page
2019,FY,2019,TRUE,funding_by_vertical_count,vertical,deeptech,Deeptech,all,count,12.0,2023,2023,FALSE,high,2023.pdf,15
2020,FY,2020,TRUE,funding_by_vertical_count,vertical,deeptech,Deeptech,all,count,17.0,2025,2025,FALSE,high,2025.pdf,13
2021,FY,2021,TRUE,funding_by_vertical_count,vertical,deeptech,Deeptech,all,count,33.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2022,FY,2022,TRUE,funding_by_vertical_count,vertical,deeptech,Deeptech,all,count,24.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2023,FY,2023,TRUE,funding_by_vertical_count,vertical,deeptech,Deeptech,all,count,20.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2024,FY,2024,TRUE,funding_by_vertical_count,vertical,deeptech,Deeptech,all,count,18.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2025,FY,2025,TRUE,funding_by_vertical_count,vertical,deeptech,Deeptech,all,count,15.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2026,H1,2026-H1,FALSE,funding_by_vertical_count,vertical,deeptech,Deeptech,all,count,1.0,2026q2,2026,TRUE,high,2026q2.pdf,7
2018,FY,2018,TRUE,funding_by_vertical_count,vertical,ecommerce,Ecommerce,all,count,8.0,2023,2023,FALSE,high,2023.pdf,15
2019,FY,2019,TRUE,funding_by_vertical_count,vertical,ecommerce,Ecommerce,all,count,6.0,2023,2023,FALSE,high,2023.pdf,15
2020,FY,2020,TRUE,funding_by_vertical_count,vertical,ecommerce,Ecommerce,all,count,11.0,2023,2023,FALSE,high,2023.pdf,15
2021,FY,2021,TRUE,funding_by_vertical_count,vertical,ecommerce,Ecommerce,all,count,17.0,2023,2023,FALSE,high,2023.pdf,15
2022,FY,2022,TRUE,funding_by_vertical_count,vertical,ecommerce,Ecommerce,all,count,18.0,2023,2023,FALSE,high,2023.pdf,15
2023,FY,2023,TRUE,funding_by_vertical_count,vertical,ecommerce,Ecommerce,all,count,21.0,2023,2023,TRUE,high,2023.pdf,15
2020,FY,2020,TRUE,funding_by_vertical_count,vertical,edtech,Education,all,count,9.0,2020,2020,TRUE,high,2020.pdf,14
2018,FY,2018,TRUE,funding_by_vertical_count,vertical,energy,Energy,all,count,6.0,2023,2023,FALSE,high,2023.pdf,15
2019,FY,2019,TRUE,funding_by_vertical_count,vertical,energy,Energy,all,count,5.0,2024,2024,FALSE,high,2024.pdf,13
2020,FY,2020,TRUE,funding_by_vertical_count,vertical,energy,Energy,all,count,9.0,2025,2025,FALSE,high,2025.pdf,13
2021,FY,2021,TRUE,funding_by_vertical_count,vertical,energy,Energy,all,count,11.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2022,FY,2022,TRUE,funding_by_vertical_count,vertical,energy,Energy,all,count,13.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2023,FY,2023,TRUE,funding_by_vertical_count,vertical,energy,Energy,all,count,25.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2024,FY,2024,TRUE,funding_by_vertical_count,vertical,energy,Energy,all,count,27.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2025,FY,2025,TRUE,funding_by_vertical_count,vertical,energy,Energy,all,count,19.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2026,H1,2026-H1,FALSE,funding_by_vertical_count,vertical,energy,Energy,all,count,3.0,2026q2,2026,TRUE,high,2026q2.pdf,7
2018,FY,2018,TRUE,funding_by_vertical_count,vertical,fintech,Fintech,all,count,18.0,2023,2023,FALSE,high,2023.pdf,15
2019,FY,2019,TRUE,funding_by_vertical_count,vertical,fintech,Fintech,all,count,19.0,2024,2024,FALSE,high,2024.pdf,13
2020,FY,2020,TRUE,funding_by_vertical_count,vertical,fintech,Fintech,all,count,25.0,2025,2025,FALSE,high,2025.pdf,13
2021,FY,2021,TRUE,funding_by_vertical_count,vertical,fintech,Fintech,all,count,40.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2022,FY,2022,TRUE,funding_by_vertical_count,vertical,fintech,Fintech,all,count,40.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2023,FY,2023,TRUE,funding_by_vertical_count,vertical,fintech,Fintech,all,count,39.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2024,FY,2024,TRUE,funding_by_vertical_count,vertical,fintech,Fintech,all,count,35.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2025,FY,2025,TRUE,funding_by_vertical_count,vertical,fintech,Fintech,all,count,42.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2026,H1,2026-H1,FALSE,funding_by_vertical_count,vertical,fintech,Fintech,all,count,4.0,2026q2,2026,TRUE,high,2026q2.pdf,7
2018,FY,2018,TRUE,funding_by_vertical_count,vertical,foodtech,Foodtech,all,count,6.0,2018,2018,TRUE,high,2018.pdf,8
2018,FY,2018,TRUE,funding_by_vertical_count,vertical,gaming,Gaming,all,count,8.0,2023,2023,FALSE,high,2023.pdf,15
2019,FY,2019,TRUE,funding_by_vertical_count,vertical,gaming,Gaming,all,count,6.0,2024,2024,FALSE,high,2024.pdf,13
2020,FY,2020,TRUE,funding_by_vertical_count,vertical,gaming,Gaming,all,count,20.0,2025,2025,FALSE,high,2025.pdf,13
2021,FY,2021,TRUE,funding_by_vertical_count,vertical,gaming,Gaming,all,count,54.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2022,FY,2022,TRUE,funding_by_vertical_count,vertical,gaming,Gaming,all,count,30.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2023,FY,2023,TRUE,funding_by_vertical_count,vertical,gaming,Gaming,all,count,50.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2024,FY,2024,TRUE,funding_by_vertical_count,vertical,gaming,Gaming,all,count,28.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2025,FY,2025,TRUE,funding_by_vertical_count,vertical,gaming,Gaming,all,count,37.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2026,H1,2026-H1,FALSE,funding_by_vertical_count,vertical,gaming,Gaming,all,count,7.0,2026q2,2026,TRUE,high,2026q2.pdf,7
2019,FY,2019,TRUE,funding_by_vertical_count,vertical,grocery_delivery,Grocery Delivery,all,count,1.0,2019,2019,TRUE,high,2019.pdf,7
2020,FY,2020,TRUE,funding_by_vertical_count,vertical,grocery_delivery,Grocery Delivery,all,count,1.0,2020,2020,TRUE,high,2020.pdf,14
2021,FY,2021,TRUE,funding_by_vertical_count,vertical,grocery_delivery,Grocery Delivery,all,count,4.0,2021,2021,TRUE,high,2021.pdf,9
2022,FY,2022,TRUE,funding_by_vertical_count,vertical,grocery_delivery,Grocery Delivery,all,count,3.0,2022,2022,TRUE,high,2022.pdf,11
2018,FY,2018,TRUE,funding_by_vertical_count,vertical,healthtech,Healthtech,all,count,8.0,2023,2023,FALSE,high,2023.pdf,15
2019,FY,2019,TRUE,funding_by_vertical_count,vertical,healthtech,Healthtech,all,count,7.0,2024,2024,FALSE,high,2024.pdf,13
2020,FY,2020,TRUE,funding_by_vertical_count,vertical,healthtech,Healthtech,all,count,16.0,2025,2025,FALSE,high,2025.pdf,13
2021,FY,2021,TRUE,funding_by_vertical_count,vertical,healthtech,Healthtech,all,count,23.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2022,FY,2022,TRUE,funding_by_vertical_count,vertical,healthtech,Healthtech,all,count,28.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2023,FY,2023,TRUE,funding_by_vertical_count,vertical,healthtech,Healthtech,all,count,19.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2024,FY,2024,TRUE,funding_by_vertical_count,vertical,healthtech,Healthtech,all,count,60.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2025,FY,2025,TRUE,funding_by_vertical_count,vertical,healthtech,Healthtech,all,count,51.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2026,H1,2026-H1,FALSE,funding_by_vertical_count,vertical,healthtech,Healthtech,all,count,12.0,2026q2,2026,TRUE,high,2026q2.pdf,7
2018,FY,2018,TRUE,funding_by_vertical_count,vertical,internet_of_things,Internet of things,all,count,10.0,2023,2023,FALSE,high,2023.pdf,15
2019,FY,2019,TRUE,funding_by_vertical_count,vertical,internet_of_things,Internet of things,all,count,3.0,2024,2024,FALSE,high,2024.pdf,13
2020,FY,2020,TRUE,funding_by_vertical_count,vertical,internet_of_things,Internet of things,all,count,9.0,2024,2024,FALSE,high,2024.pdf,13
2021,FY,2021,TRUE,funding_by_vertical_count,vertical,internet_of_things,Internet of things,all,count,8.0,2024,2024,FALSE,high,2024.pdf,13
2022,FY,2022,TRUE,funding_by_vertical_count,vertical,internet_of_things,Internet of things,all,count,15.0,2024,2024,FALSE,high,2024.pdf,13
2023,FY,2023,TRUE,funding_by_vertical_count,vertical,internet_of_things,Internet of things,all,count,17.0,2024,2024,FALSE,high,2024.pdf,13
2024,FY,2024,TRUE,funding_by_vertical_count,vertical,internet_of_things,Internet of things,all,count,17.0,2024,2024,TRUE,high,2024.pdf,13
2020,FY,2020,TRUE,funding_by_vertical_count,vertical,logistics,Logistics,all,count,10.0,2020,2020,TRUE,high,2020.pdf,14
2018,FY,2018,TRUE,funding_by_vertical_count,vertical,marketingtech,Marketing-tech,all,count,2.0,2018,2018,TRUE,high,2018.pdf,8
2020,FY,2020,TRUE,funding_by_vertical_count,vertical,marketingtech,Marketingtech,all,count,6.0,2025,2025,FALSE,high,2025.pdf,13
2021,FY,2021,TRUE,funding_by_vertical_count,vertical,marketingtech,Marketingtech,all,count,4.0,2025,2025,FALSE,high,2025.pdf,13
2022,FY,2022,TRUE,funding_by_vertical_count,vertical,marketingtech,Marketingtech,all,count,12.0,2025,2025,FALSE,high,2025.pdf,13
2023,FY,2023,TRUE,funding_by_vertical_count,vertical,marketingtech,Marketingtech,all,count,13.0,2025,2025,FALSE,high,2025.pdf,13
2024,FY,2024,TRUE,funding_by_vertical_count,vertical,marketingtech,Marketingtech,all,count,10.0,2025,2025,FALSE,high,2025.pdf,13
2025,FY,2025,TRUE,funding_by_vertical_count,vertical,marketingtech,Marketingtech,all,count,10.0,2025,2025,TRUE,high,2025.pdf,13
2018,FY,2018,TRUE,funding_by_vertical_count,vertical,marketplace,Marketplace,all,count,6.0,2018,2018,TRUE,high,2018.pdf,8
2019,FY,2019,TRUE,funding_by_vertical_count,vertical,marketplace,Marketplace,all,count,10.0,2019,2019,TRUE,high,2019.pdf,7
2020,FY,2020,TRUE,funding_by_vertical_count,vertical,marketplace,Marketplace,all,count,12.0,2020,2020,TRUE,high,2020.pdf,14
2022,FY,2022,TRUE,funding_by_vertical_count,vertical,marketplace,Marketplace,all,count,24.0,2022,2022,TRUE,high,2022.pdf,11
2019,FY,2019,TRUE,funding_by_vertical_count,vertical,mobility,Mobility,all,count,2.0,2019,2019,TRUE,high,2019.pdf,7
2021,FY,2021,TRUE,funding_by_vertical_count,vertical,mobility,Mobility,all,count,11.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2022,FY,2022,TRUE,funding_by_vertical_count,vertical,mobility,Mobility,all,count,3.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2023,FY,2023,TRUE,funding_by_vertical_count,vertical,mobility,Mobility,all,count,15.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2024,FY,2024,TRUE,funding_by_vertical_count,vertical,mobility,Mobility,all,count,13.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2025,FY,2025,TRUE,funding_by_vertical_count,vertical,mobility,Mobility,all,count,13.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2026,H1,2026-H1,FALSE,funding_by_vertical_count,vertical,mobility,Mobility,all,count,3.0,2026q2,2026,TRUE,high,2026q2.pdf,7
2020,FY,2020,TRUE,funding_by_vertical_count,vertical,on_demand_mobile,On Demand Mobile,all,count,2.0,2020,2020,TRUE,high,2020.pdf,14
2021,FY,2021,TRUE,funding_by_vertical_count,vertical,proptech,Proptech,all,count,2.0,2021,2021,TRUE,high,2021.pdf,9
2018,FY,2018,TRUE,funding_by_vertical_count,vertical,regtech,Regtech,all,count,1.0,2018,2018,TRUE,high,2018.pdf,8
2018,FY,2018,TRUE,funding_by_vertical_count,vertical,restaurant,Restaurant,all,count,5.0,2018,2018,TRUE,high,2018.pdf,8
2018,FY,2018,TRUE,funding_by_vertical_count,vertical,retailtech,Retail-tech,all,count,6.0,2018,2018,TRUE,high,2018.pdf,8
2020,FY,2020,TRUE,funding_by_vertical_count,vertical,retailtech,Retailtech,all,count,8.0,2020,2020,TRUE,high,2020.pdf,14
2018,FY,2018,TRUE,funding_by_vertical_count,vertical,saas,SaaS,all,count,17.0,2023,2023,FALSE,high,2023.pdf,15
2019,FY,2019,TRUE,funding_by_vertical_count,vertical,saas,SaaS,all,count,17.0,2024,2024,FALSE,high,2024.pdf,13
2020,FY,2020,TRUE,funding_by_vertical_count,vertical,saas,SaaS,all,count,36.0,2025,2025,FALSE,high,2025.pdf,13
2021,FY,2021,TRUE,funding_by_vertical_count,vertical,saas,SaaS,all,count,27.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2022,FY,2022,TRUE,funding_by_vertical_count,vertical,saas,SaaS,all,count,35.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2023,FY,2023,TRUE,funding_by_vertical_count,vertical,saas,SaaS,all,count,38.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2024,FY,2024,TRUE,funding_by_vertical_count,vertical,saas,SaaS,all,count,40.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2025,FY,2025,TRUE,funding_by_vertical_count,vertical,saas,SaaS,all,count,28.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2026,H1,2026-H1,FALSE,funding_by_vertical_count,vertical,saas,SaaS,all,count,7.0,2026q2,2026,TRUE,high,2026q2.pdf,7
2018,FY,2018,TRUE,funding_by_vertical_count,vertical,smart_city,Smart city,all,count,4.0,2018,2018,TRUE,high,2018.pdf,8
2019,FY,2019,TRUE,funding_by_vertical_count,vertical,sustainability,Sustainability,all,count,8.0,2024,2024,FALSE,high,2024.pdf,13
2020,FY,2020,TRUE,funding_by_vertical_count,vertical,sustainability,Sustainability,all,count,4.0,2025,2025,FALSE,high,2025.pdf,13
2021,FY,2021,TRUE,funding_by_vertical_count,vertical,sustainability,Sustainability,all,count,7.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2022,FY,2022,TRUE,funding_by_vertical_count,vertical,sustainability,Sustainability,all,count,10.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2023,FY,2023,TRUE,funding_by_vertical_count,vertical,sustainability,Sustainability,all,count,16.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2024,FY,2024,TRUE,funding_by_vertical_count,vertical,sustainability,Sustainability,all,count,42.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2025,FY,2025,TRUE,funding_by_vertical_count,vertical,sustainability,Sustainability,all,count,15.0,2026q2,2026,FALSE,high,2026q2.pdf,7
2026,H1,2026-H1,FALSE,funding_by_vertical_count,vertical,sustainability,Sustainability,all,count,4.0,2026q2,2026,TRUE,high,2026q2.pdf,7
2018,FY,2018,TRUE,funding_by_vertical_count,vertical,travel,Travel,all,count,2.0,2018,2018,TRUE,high,2018.pdf,8
2018,FY,2018,TRUE,funding_by_vertical_size,vertical,artificial_intelligence,Artificial intelligence,all,usd,9500000.0,2023,2023,FALSE,high,2023.pdf,14
2019,FY,2019,TRUE,funding_by_vertical_size,vertical,artificial_intelligence,Artificial intelligence,all,usd,4800000.0,2024,2024,FALSE,high,2024.pdf,12
2020,FY,2020,TRUE,funding_by_vertical_size,vertical,artificial_intelligence,Artificial intelligence,all,usd,63200000.0,2025,2025,FALSE,high,2025.pdf,12
2021,FY,2021,TRUE,funding_by_vertical_size,vertical,artificial_intelligence,Artificial intelligence,all,usd,28600000.0,2026q2,2026,FALSE,high,2026q2.pdf,6
2022,FY,2022,TRUE,funding_by_vertical_size,vertical,artificial_intelligence,Artificial intelligence,all,usd,157700000.0,2026q2,2026,FALSE,high,2026q2.pdf,6
2023,FY,2023,TRUE,funding_by_vertical_size,vertical,artificial_intelligence,Artificial intelligence,all,usd,50300000.0,2026q2,2026,FALSE,high,2026q2.pdf,6
2024,FY,2024,TRUE,funding_by_vertical_size,vertical,artificial_intelligence,Artificial intelligence,all,usd,285500000.0,2026q2,2026,FALSE,high,2026q2.pdf,6
2025,FY,2025,TRUE,funding_by_vertical_size,vertical,artificial_intelligence,Artificial intelligence,all,usd,40500000.0,2026q2,2026,FALSE,high,2026q2.pdf,6
2026,H1,2026-H1,FALSE,funding_by_vertical_size,vertical,artificial_intelligence,Artificial intelligence,all,usd,28600000.0,2026q2,2026,TRUE,high,2026q2.pdf,6
2026,Q1,2026-Q1,FALSE,funding_by_vertical_size,vertical,artificial_intelligence,Artificial intelligence,all,usd,11400000.0,2026q1,2026,TRUE,high,2026q1.pdf,9
2019,FY,2019,TRUE,funding_by_vertical_size,vertical,autotech,Autotech,all,usd,2300000.0,2024,2024,FALSE,high,2024.pdf,12
2020,FY,2020,TRUE,funding_by_vertical_size,vertical,autotech,Autotech,all,usd,3200000.0,2024,2024,FALSE,high,2024.pdf,12
2021,FY,2021,TRUE,funding_by_vertical_size,vertical,autotech,Autotech,all,usd,75300000.0,2024,2024,FALSE,high,2024.pdf,12
2022,FY,2022,TRUE,funding_by_vertical_size,vertical,autotech,Autotech,all,usd,37800000.0,2024,2024,FALSE,high,2024.pdf,12
2023,FY,2023,TRUE,funding_by_vertical_size,vertical,autotech,Autotech,all,usd,18400000.0,2024,2024,FALSE,high,2024.pdf,12
2024,FY,2024,TRUE,funding_by_vertical_size,vertical,autotech,Autotech,all,usd,28700000.0,2024,2024,TRUE,high,2024.pdf,12
2021,FY,2021,TRUE,funding_by_vertical_size,vertical,biotech,Biotech,all,usd,15000000.0,2026q2,2026,FALSE,high,2026q2.pdf,6
2022,FY,2022,TRUE,funding_by_vertical_size,vertical,biotech,Biotech,all,usd,4800000.0,2026q2,2026,FALSE,high,2026q2.pdf,6
2023,FY,2023,TRUE,funding_by_vertical_size,vertical,biotech,Biotech,all,usd,4000000.0,2026q2,2026,FALSE,high,2026q2.pdf,6
2024,FY,2024,TRUE,funding_by_vertical_size,vertical,biotech,Biotech,all,usd,8400000.0,2026q2,2026,FALSE,high,2026q2.pdf,6
2025,FY,2025,TRUE,funding_by_vertical_size,vertical,biotech,Biotech,all,usd,4400000.0,2026q2,2026,FALSE,high,2026q2.pdf,6
2026,H1,2026-H1,FALSE,funding_by_vertical_size,vertical,biotech,Biotech,all,usd,2700000.0,2026q2,2026,TRUE,high,2026q2.pdf,6
2019,FY,2019,TRUE,funding_by_vertical_size,vertical,blockchain,Blockchain,all,usd,0.0,2024,2024,FALSE,high,2024.pdf,12
2020,FY,2020,TRUE,funding_by_vertical_size,vertical,blockchain,Blockchain,all,usd,300000.0,2024,2024,FALSE,high,2024.pdf,12
2021,FY,2021,TRUE,funding_by_vertical_size,vertical,blockchain,Blockchain,all,usd,39700000.0,2024,2024,FALSE,high,2024.pdf,12
2022,FY,2022,TRUE,funding_by_vertical_size,vertical,blockchain,Blockchain,all,usd,17200000.0,2024,2024,FALSE,high,2024.pdf,12
2023,FY,2023,TRUE,funding_by_vertical_size,vertical,blockchain,Blockchain,all,usd,5300000.0,2024,2024,FALSE,high,2024.pdf,12
2024,FY,2024,TRUE,funding_by_vertical_size,vertical,blockchain,Blockchain,all,usd,82400000.0,2024,2024,TRUE,high,2024.pdf,12
2019,FY,2019,TRUE,funding_by_vertical_size,vertical,cybersecurity,Cybersecurity,all,usd,6900000.0,2024,2024,FALSE,high,2024.pdf,12
2020,FY,2020,TRUE,funding_by_vertical_size,vertical,cybersecurity,Cybersecurity,all,usd,400000.0,2025,2025,FALSE,high,2025.pdf,12
2021,FY,2021,TRUE,funding_by_vertical_size,vertical,cybersecurity,Cybersecurity,all,usd,24900000.0,2025,2025,FALSE,high,2025.pdf,12
2022,FY,2022,TRUE,funding_by_vertical_size,vertical,cybersecurity,Cybersecurity,all,usd,14300000.0,2025,2025,FALSE,high,2025.pdf,12
2023,FY,2023,TRUE,funding_by_vertical_size,vertical,cybersecurity,Cybersecurity,all,usd,11200000.0,2025,2025,FALSE,high,2025.pdf,12
2024,FY,2024,TRUE,funding_by_vertical_size,vertical,cybersecurity,Cybersecurity,all,usd,73600000.0,2025,2025,FALSE,high,2025.pdf,12
2025,FY,2025,TRUE,funding_by_vertical_size,vertical,cybersecurity,Cybersecurity,all,usd,19500000.0,2025,2025,TRUE,high,2025.pdf,12
2019,FY,2019,TRUE,funding_by_vertical_size,vertical,deeptech,Deep Tech,all,usd,3300000.0,2019,2019,TRUE,high,2019.pdf,7
2020,FY,2020,TRUE,funding_by_vertical_size,vertical,deeptech,Deeptech,all,usd,8300000.000000001,2025,2025,FALSE,high,2025.pdf,12
2021,FY,2021,TRUE,funding_by_vertical_size,vertical,deeptech,Deeptech,all,usd,28600000.0,2026q2,2026,FALSE,high,2026q2.pdf,6
2022,FY,2022,TRUE,funding_by_vertical_size,vertical,deeptech,Deeptech,all,usd,31000000.0,2026q2,2026,FALSE,high,2026q2.pdf,6
2023,FY,2023,TRUE,funding_by_vertical_size,vertical,deeptech,Deeptech,all,usd,7100000.0,2026q2,2026,FALSE,high,2026q2.pdf,6
2024,FY,2024,TRUE,funding_by_vertical_size,vertical,deeptech,Deeptech,all,usd,7800000.0,2026q2,2026,FALSE,high,2026q2.pdf,6
2025,FY,2025,TRUE,funding_by_vertical_size,vertical,deeptech,Deeptech,all,usd,15300000.0,2026q2,2026,FALSE,high,2026q2.pdf,6
2026,H1,2026-H1,FALSE,funding_by_vertical_size,vertical,deeptech,Deeptech,all,usd,2400000.0,2026q2,2026,TRUE,high,2026q2.pdf,6
2018,FY,2018,TRUE,funding_by_vertical_size,vertical,ecommerce,Ecommerce,all,usd,8100000.0,2023,2023,FALSE,high,2023.pdf,14
2019,FY,2019,TRUE,funding_by_vertical_size,vertical,ecommerce,Ecommerce,all,usd,1400000.0,2023,2023,FALSE,high,2023.pdf,14
2020,FY,2020,TRUE,funding_by_vertical_size,vertical,ecommerce,Ecommerce,all,usd,8000000.0,2023,2023,FALSE,high,2023.pdf,14
2021,FY,2021,TRUE,funding_by_vertical_size,vertical,ecommerce,Ecommerce,all,usd,29300000.0,2023,2023,FALSE,high,2023.pdf,14
2022,FY,2022,TRUE,funding_by_vertical_size,vertical,ecommerce,Ecommerce,all,usd,33900000.0,2023,2023,FALSE,high,2023.pdf,14
2023,FY,2023,TRUE,funding_by_vertical_size,vertical,ecommerce,Ecommerce,all,usd,18200000.0,2023,2023,TRUE,high,2023.pdf,14
2020,FY,2020,TRUE,funding_by_vertical_size,vertical,edtech,Education,all,usd,3000000.0,2020,2020,TRUE,high,2020.pdf,14
