data_year,period,report_id,report_year,metric,dim_type,dim_value_raw,dim_value_canon,scope,unit,value,source_file,page,confidence,is_provisional
2022,FY,2025,2025,total_deal_size,none,,,ex_getir_bigg,usd,593000000.0,2025.pdf,5,high,FALSE
2023,FY,2025,2025,total_deal_size,none,,,ex_getir_bigg,usd,237000000.0,2025.pdf,5,high,FALSE
2024,FY,2025,2025,total_deal_size,none,,,ex_getir_bigg,usd,814000000.0,2025.pdf,5,high,FALSE
2025,FY,2025,2025,total_deal_size,none,,,ex_getir_bigg,usd,586000000.0,2025.pdf,5,high,TRUE
2015,FY,2025,2025,total_deal_count,none,,,ex_getir_bigg,count,99.0,2025.pdf,5,high,FALSE
2016,FY,2025,2025,total_deal_count,none,,,ex_getir_bigg,count,156.0,2025.pdf,5,high,FALSE
2017,FY,2025,2025,total_deal_count,none,,,ex_getir_bigg,count,185.0,2025.pdf,5,high,FALSE
2018,FY,2025,2025,total_deal_count,none,,,ex_getir_bigg,count,137.0,2025.pdf,5,high,FALSE
2019,FY,2025,2025,total_deal_count,none,,,ex_getir_bigg,count,131.0,2025.pdf,5,high,FALSE
2020,FY,2025,2025,total_deal_count,none,,,ex_getir_bigg,count,215.0,2025.pdf,5,high,FALSE
2021,FY,2025,2025,total_deal_count,none,,,ex_getir_bigg,count,341.0,2025.pdf,5,high,FALSE
2022,FY,2025,2025,total_deal_count,none,,,ex_getir_bigg,count,355.0,2025.pdf,5,high,FALSE
2023,FY,2025,2025,total_deal_count,none,,,ex_getir_bigg,count,364.0,2025.pdf,5,high,FALSE
2024,FY,2025,2025,total_deal_count,none,,,ex_getir_bigg,count,252.0,2025.pdf,5,high,FALSE
2025,FY,2025,2025,total_deal_count,none,,,ex_getir_bigg,count,202.0,2025.pdf,5,high,TRUE
2016,FY,2026q2,2026,total_deal_size,none,,,all,usd,58000000.0,2026q2.pdf,4,high,FALSE
2017,FY,2026q2,2026,total_deal_size,none,,,all,usd,116000000.0,2026q2.pdf,4,high,FALSE
2018,FY,2026q2,2026,total_deal_size,none,,,all,usd,84000000.0,2026q2.pdf,4,high,FALSE
2019,FY,2026q2,2026,total_deal_size,none,,,all,usd,103000000.0,2026q2.pdf,4,high,FALSE
2020,FY,2026q2,2026,total_deal_size,none,,,all,usd,155000000.0,2026q2.pdf,4,high,FALSE
2021,FY,2026q2,2026,total_deal_size,none,,,all,usd,1900000000.0,2026q2.pdf,4,high,FALSE
2022,FY,2026q2,2026,total_deal_size,none,,,all,usd,1400000000.0,2026q2.pdf,4,high,FALSE
2023,FY,2026q2,2026,total_deal_size,none,,,all,usd,738000000.0,2026q2.pdf,4,high,FALSE
2024,FY,2026q2,2026,total_deal_size,none,,,all,usd,1100000000.0,2026q2.pdf,4,high,FALSE
2025,FY,2026q2,2026,total_deal_size,none,,,all,usd,609000000.0,2026q2.pdf,4,high,FALSE
2026,H1,2026q2,2026,total_deal_size,none,,,all,usd,172000000.0,2026q2.pdf,4,high,TRUE
2016,FY,2026q2,2026,total_deal_count,none,,,all,count,156.0,2026q2.pdf,4,high,FALSE
2017,FY,2026q2,2026,total_deal_count,none,,,all,count,185.0,2026q2.pdf,4,high,FALSE
2018,FY,2026q2,2026,total_deal_count,none,,,all,count,138.0,2026q2.pdf,4,high,FALSE
2019,FY,2026q2,2026,total_deal_count,none,,,all,count,132.0,2026q2.pdf,4,high,FALSE
2020,FY,2026q2,2026,total_deal_count,none,,,all,count,215.0,2026q2.pdf,4,high,FALSE
2021,FY,2026q2,2026,total_deal_count,none,,,all,count,343.0,2026q2.pdf,4,high,FALSE
2022,FY,2026q2,2026,total_deal_count,none,,,all,count,356.0,2026q2.pdf,4,high,FALSE
2023,FY,2026q2,2026,total_deal_count,none,,,all,count,366.0,2026q2.pdf,4,high,FALSE
2024,FY,2026q2,2026,total_deal_count,none,,,all,count,589.0,2026q2.pdf,4,high,FALSE
2025,FY,2026q2,2026,total_deal_count,none,,,all,count,388.0,2026q2.pdf,4,high,FALSE
2026,H1,2026q2,2026,total_deal_count,none,,,all,count,87.0,2026q2.pdf,4,high,TRUE
2016,FY,2026q2,2026,total_deal_size,none,,,ex_getir_bigg,usd,58000000.0,2026q2.pdf,4,high,FALSE
2017,FY,2026q2,2026,total_deal_size,none,,,ex_getir_bigg,usd,116000000.0,2026q2.pdf,4,high,FALSE
2018,FY,2026q2,2026,total_deal_size,none,,,ex_getir_bigg,usd,83000000.0,2026q2.pdf,4,high,FALSE
2019,FY,2026q2,2026,total_deal_size,none,,,ex_getir_bigg,usd,65000000.0,2026q2.pdf,4,high,FALSE
2020,FY,2026q2,2026,total_deal_size,none,,,ex_getir_bigg,usd,155000000.0,2026q2.pdf,4,high,FALSE
2021,FY,2026q2,2026,total_deal_size,none,,,ex_getir_bigg,usd,880000000.0,2026q2.pdf,4,high,FALSE
2022,FY,2026q2,2026,total_deal_size,none,,,ex_getir_bigg,usd,593000000.0,2026q2.pdf,4,high,FALSE
2023,FY,2026q2,2026,total_deal_size,none,,,ex_getir_bigg,usd,238000000.0,2026q2.pdf,4,high,FALSE
2024,FY,2026q2,2026,total_deal_size,none,,,ex_getir_bigg,usd,814000000.0,2026q2.pdf,4,high,FALSE
2025,FY,2026q2,2026,total_deal_size,none,,,ex_getir_bigg,usd,605000000.0,2026q2.pdf,4,high,FALSE
2026,H1,2026q2,2026,total_deal_size,none,,,ex_getir_bigg,usd,171000000.0,2026q2.pdf,4,high,TRUE
2016,FY,2026q2,2026,total_deal_count,none,,,ex_getir_bigg,count,156.0,2026q2.pdf,4,high,FALSE
2017,FY,2026q2,2026,total_deal_count,none,,,ex_getir_bigg,count,185.0,2026q2.pdf,4,high,FALSE
2018,FY,2026q2,2026,total_deal_count,none,,,ex_getir_bigg,count,137.0,2026q2.pdf,4,high,FALSE
2019,FY,2026q2,2026,total_deal_count,none,,,ex_getir_bigg,count,131.0,2026q2.pdf,4,high,FALSE
2020,FY,2026q2,2026,total_deal_count,none,,,ex_getir_bigg,count,215.0,2026q2.pdf,4,high,FALSE
2021,FY,2026q2,2026,total_deal_count,none,,,ex_getir_bigg,count,340.0,2026q2.pdf,4,high,FALSE
2022,FY,2026q2,2026,total_deal_count,none,,,ex_getir_bigg,count,355.0,2026q2.pdf,4,high,FALSE
2023,FY,2026q2,2026,total_deal_count,none,,,ex_getir_bigg,count,365.0,2026q2.pdf,4,high,FALSE
2024,FY,2026q2,2026,total_deal_count,none,,,ex_getir_bigg,count,254.0,2026q2.pdf,4,high,FALSE
2025,FY,2026q2,2026,total_deal_count,none,,,ex_getir_bigg,count,214.0,2026q2.pdf,4,high,FALSE
2026,H1,2026q2,2026,total_deal_count,none,,,ex_getir_bigg,count,58.0,2026q2.pdf,4,high,TRUE
2018,FY,2018,2018,funding_by_vertical_count,vertical,Artificial Intelligence,artificial_intelligence,all,count,5.0,2018.pdf,8,high,TRUE
2018,FY,2018,2018,funding_by_vertical_count,vertical,Biotech,biotech,all,count,2.0,2018.pdf,8,high,TRUE
2018,FY,2018,2018,funding_by_vertical_count,vertical,Ecommerce,ecommerce,all,count,7.0,2018.pdf,8,high,TRUE
2018,FY,2018,2018,funding_by_vertical_count,vertical,Fintech,fintech,all,count,10.0,2018.pdf,8,high,TRUE
2018,FY,2018,2018,funding_by_vertical_count,vertical,Foodtech,foodtech,all,count,6.0,2018.pdf,8,high,TRUE
2018,FY,2018,2018,funding_by_vertical_count,vertical,IoT,internet_of_things,all,count,5.0,2018.pdf,8,high,TRUE
2018,FY,2018,2018,funding_by_vertical_count,vertical,Marketing-tech,marketingtech,all,count,2.0,2018.pdf,8,high,TRUE
2018,FY,2018,2018,funding_by_vertical_count,vertical,Marketplace,marketplace,all,count,6.0,2018.pdf,8,high,TRUE
2018,FY,2018,2018,funding_by_vertical_count,vertical,Regtech,regtech,all,count,1.0,2018.pdf,8,high,TRUE
2018,FY,2018,2018,funding_by_vertical_count,vertical,Restaurant,restaurant,all,count,5.0,2018.pdf,8,high,TRUE
2018,FY,2018,2018,funding_by_vertical_count,vertical,Retail-tech,retailtech,all,count,6.0,2018.pdf,8,high,TRUE
2018,FY,2018,2018,funding_by_vertical_count,vertical,SaaS,saas,all,count,10.0,2018.pdf,8,high,TRUE
2018,FY,2018,2018,funding_by_vertical_count,vertical,Smart city,smart_city,all,count,4.0,2018.pdf,8,high,TRUE
2018,FY,2018,2018,funding_by_vertical_count,vertical,Travel,travel,all,count,2.0,2018.pdf,8,high,TRUE
2018,FY,2018,2018,funding_by_vertical_size,vertical,Artificial Intelligence,artificial_intelligence,all,usd,600000.0,2018.pdf,8,high,TRUE
2018,FY,2018,2018,funding_by_vertical_size,vertical,Foodtech,foodtech,all,usd,1000000.0,2018.pdf,8,high,TRUE
2018,FY,2018,2018,funding_by_vertical_size,vertical,IoT,internet_of_things,all,usd,1300000.0,2018.pdf,8,high,TRUE
2018,FY,2018,2018,funding_by_vertical_size,vertical,Restaurant,restaurant,all,usd,1500000.0,2018.pdf,8,high,TRUE
2019,FY,2019,2019,funding_by_vertical_count,vertical,AI,artificial_intelligence,all,count,11.0,2019.pdf,7,high,TRUE
2019,FY,2019,2019,funding_by_vertical_count,vertical,Deep Tech,deeptech,all,count,11.0,2019.pdf,7,high,TRUE
2019,FY,2019,2019,funding_by_vertical_count,vertical,Fintech,fintech,all,count,17.0,2019.pdf,7,high,TRUE
2019,FY,2019,2019,funding_by_vertical_count,vertical,Grocery Delivery,grocery_delivery,all,count,1.0,2019.pdf,7,high,TRUE
2019,FY,2019,2019,funding_by_vertical_count,vertical,Marketplace,marketplace,all,count,10.0,2019.pdf,7,high,TRUE
2019,FY,2019,2019,funding_by_vertical_count,vertical,Mobility,mobility,all,count,2.0,2019.pdf,7,high,TRUE
2019,FY,2019,2019,funding_by_vertical_count,vertical,SaaS,saas,all,count,14.0,2019.pdf,7,high,TRUE
2019,FY,2019,2019,funding_by_vertical_size,vertical,AI,artificial_intelligence,all,usd,5800000.0,2019.pdf,7,high,TRUE
2019,FY,2019,2019,funding_by_vertical_size,vertical,Deep Tech,deeptech,all,usd,3300000.0,2019.pdf,7,high,TRUE
2019,FY,2019,2019,funding_by_vertical_size,vertical,Fintech,fintech,all,usd,8400000.0,2019.pdf,7,high,TRUE
2019,FY,2019,2019,funding_by_vertical_size,vertical,Grocery Delivery,grocery_delivery,all,usd,38000000.0,2019.pdf,7,high,TRUE
2019,FY,2019,2019,funding_by_vertical_size,vertical,Marketplace,marketplace,all,usd,8400000.0,2019.pdf,7,high,TRUE
2019,FY,2019,2019,funding_by_vertical_size,vertical,Mobility,mobility,all,usd,8000000.0,2019.pdf,7,high,TRUE
2019,FY,2019,2019,funding_by_vertical_size,vertical,SaaS,saas,all,usd,8300000.000000001,2019.pdf,7,high,TRUE
2020,FY,2020,2020,funding_by_vertical_count,vertical,AI,artificial_intelligence,all,count,14.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_count,vertical,Deeptech,deeptech,all,count,13.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_count,vertical,Ecommerce,ecommerce,all,count,7.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_count,vertical,Education,edtech,all,count,9.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_count,vertical,Fintech,fintech,all,count,16.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_count,vertical,Game,gaming,all,count,12.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_count,vertical,Grocery Delivery,grocery_delivery,all,count,1.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_count,vertical,Healthtech,healthtech,all,count,15.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_count,vertical,Logistics,logistics,all,count,10.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_count,vertical,Marketingtech,marketingtech,all,count,4.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_count,vertical,Marketplace,marketplace,all,count,12.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_count,vertical,On Demand Mobile,on_demand_mobile,all,count,2.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_count,vertical,Retailtech,retailtech,all,count,8.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_count,vertical,SaaS,saas,all,count,25.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_size,vertical,AI,artificial_intelligence,all,usd,39000000.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_size,vertical,Deeptech,deeptech,all,usd,7000000.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_size,vertical,Ecommerce,ecommerce,all,usd,6000000.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_size,vertical,Education,edtech,all,usd,3000000.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_size,vertical,Fintech,fintech,all,usd,20000000.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_size,vertical,Game,gaming,all,usd,8000000.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_size,vertical,Grocery Delivery,grocery_delivery,all,usd,10000000.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_size,vertical,Healthtech,healthtech,all,usd,22000000.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_size,vertical,Logistics,logistics,all,usd,2000000.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_size,vertical,Marketingtech,marketingtech,all,usd,32000000.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_size,vertical,Marketplace,marketplace,all,usd,3000000.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_size,vertical,On Demand Mobile,on_demand_mobile,all,usd,11000000.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_size,vertical,Retailtech,retailtech,all,usd,6000000.0,2020.pdf,14,high,TRUE
2020,FY,2020,2020,funding_by_vertical_size,vertical,SaaS,saas,all,usd,50000000.0,2020.pdf,14,high,TRUE
2021,FY,2021,2021,funding_by_vertical_count,vertical,AI,artificial_intelligence,all,count,35.0,2021.pdf,9,high,TRUE
2021,FY,2021,2021,funding_by_vertical_count,vertical,Blockchain,blockchain,all,count,6.0,2021.pdf,9,high,TRUE
2021,FY,2021,2021,funding_by_vertical_count,vertical,Deeptech,deeptech,all,count,31.0,2021.pdf,9,high,TRUE
2021,FY,2021,2021,funding_by_vertical_count,vertical,Fintech,fintech,all,count,29.0,2021.pdf,9,high,TRUE
2021,FY,2021,2021,funding_by_vertical_count,vertical,Game,gaming,all,count,52.0,2021.pdf,9,high,TRUE
2021,FY,2021,2021,funding_by_vertical_count,vertical,Grocery Delivery,grocery_delivery,all,count,4.0,2021.pdf,9,high,TRUE
2021,FY,2021,2021,funding_by_vertical_count,vertical,Healthtech,healthtech,all,count,22.0,2021.pdf,9,high,TRUE
2021,FY,2021,2021,funding_by_vertical_count,vertical,Proptech,proptech,all,count,2.0,2021.pdf,9,high,TRUE
2021,FY,2021,2021,funding_by_vertical_size,vertical,AI,artificial_intelligence,all,usd,18000000.0,2021.pdf,9,high,TRUE
2021,FY,2021,2021,funding_by_vertical_size,vertical,Blockchain,blockchain,all,usd,39000000.0,2021.pdf,9,high,TRUE
2021,FY,2021,2021,funding_by_vertical_size,vertical,Deeptech,deeptech,all,usd,28000000.0,2021.pdf,9,high,TRUE
2021,FY,2021,2021,funding_by_vertical_size,vertical,Fintech,fintech,all,usd,64000000.0,2021.pdf,9,high,TRUE
2021,FY,2021,2021,funding_by_vertical_size,vertical,Game,gaming,all,usd,265000000.0,2021.pdf,9,high,TRUE
2021,FY,2021,2021,funding_by_vertical_size,vertical,Grocery Delivery,grocery_delivery,all,usd,984000000.0,2021.pdf,9,high,TRUE
2021,FY,2021,2021,funding_by_vertical_size,vertical,Healthtech,healthtech,all,usd,20000000.0,2021.pdf,9,high,TRUE
2021,FY,2021,2021,funding_by_vertical_size,vertical,Proptech,proptech,all,usd,66000000.0,2021.pdf,9,high,TRUE
2022,FY,2022,2022,funding_by_vertical_count,vertical,AI,artificial_intelligence,all,count,26.0,2022.pdf,11,high,TRUE
2022,FY,2022,2022,funding_by_vertical_count,vertical,Fintech,fintech,all,count,34.0,2022.pdf,11,high,TRUE
2022,FY,2022,2022,funding_by_vertical_count,vertical,Gaming,gaming,all,count,24.0,2022.pdf,11,high,TRUE
2022,FY,2022,2022,funding_by_vertical_count,vertical,Grocery Delivery,grocery_delivery,all,count,3.0,2022.pdf,11,high,TRUE
2022,FY,2022,2022,funding_by_vertical_count,vertical,Marketingtech,marketingtech,all,count,9.0,2022.pdf,11,high,TRUE
2022,FY,2022,2022,funding_by_vertical_count,vertical,Marketplace,marketplace,all,count,24.0,2022.pdf,11,high,TRUE
2022,FY,2022,2022,funding_by_vertical_count,vertical,SaaS,saas,all,count,33.0,2022.pdf,11,low,TRUE
2022,FY,2022,2022,funding_by_vertical_size,vertical,AI,artificial_intelligence,all,usd,151000000.0,2022.pdf,11,high,TRUE
2022,FY,2022,2022,funding_by_vertical_size,vertical,Fintech,fintech,all,usd,90000000.0,2022.pdf,11,high,TRUE
2022,FY,2022,2022,funding_by_vertical_size,vertical,Gaming,gaming,all,usd,362000000.0,2022.pdf,11,high,TRUE
2022,FY,2022,2022,funding_by_vertical_size,vertical,Grocery Delivery,grocery_delivery,all,usd,768000000.0,2022.pdf,11,high,TRUE
2022,FY,2022,2022,funding_by_vertical_size,vertical,Marketingtech,marketingtech,all,usd,125000000.0,2022.pdf,11,high,TRUE
2022,FY,2022,2022,funding_by_vertical_size,vertical,Marketplace,marketplace,all,usd,61000000.0,2022.pdf,11,high,TRUE
2022,FY,2022,2022,funding_by_vertical_size,vertical,SaaS,saas,all,usd,148000000.0,2022.pdf,11,high,TRUE
2018,FY,2023,2023,funding_by_vertical_count,vertical,Artificial intelligence,artificial_intelligence,all,count,13.0,2023.pdf,15,high,FALSE
2018,FY,2023,2023,funding_by_vertical_count,vertical,Climatetech,climatetech,all,count,7.0,2023.pdf,15,high,FALSE
2018,FY,2023,2023,funding_by_vertical_count,vertical,Deeptech,deeptech,all,count,12.0,2023.pdf,15,high,FALSE
2018,FY,2023,2023,funding_by_vertical_count,vertical,Ecommerce,ecommerce,all,count,8.0,2023.pdf,15,high,FALSE
2018,FY,2023,2023,funding_by_vertical_count,vertical,Energy,energy,all,count,6.0,2023.pdf,15,high,FALSE
2018,FY,2023,2023,funding_by_vertical_count,vertical,Fintech,fintech,all,count,18.0,2023.pdf,15,high,FALSE
2018,FY,2023,2023,funding_by_vertical_count,vertical,Gaming,gaming,all,count,8.0,2023.pdf,15,high,FALSE
2018,FY,2023,2023,funding_by_vertical_count,vertical,Healthtech,healthtech,all,count,8.0,2023.pdf,15,high,FALSE
2018,FY,2023,2023,funding_by_vertical_count,vertical,Internet of things,internet_of_things,all,count,10.0,2023.pdf,15,high,FALSE
2018,FY,2023,2023,funding_by_vertical_count,vertical,SaaS,saas,all,count,17.0,2023.pdf,15,high,FALSE
2018,FY,2023,2023,funding_by_vertical_size,vertical,Artificial intelligence,artificial_intelligence,all,usd,9500000.0,2023.pdf,14,high,FALSE
2018,FY,2023,2023,funding_by_vertical_size,vertical,Ecommerce,ecommerce,all,usd,8100000.0,2023.pdf,14,high,FALSE
2018,FY,2023,2023,funding_by_vertical_size,vertical,Energy,energy,all,usd,1600000.0,2023.pdf,14,high,FALSE
2018,FY,2023,2023,funding_by_vertical_size,vertical,Fintech,fintech,all,usd,16500000.0,2023.pdf,14,high,FALSE
2018,FY,2023,2023,funding_by_vertical_size,vertical,Gaming,gaming,all,usd,1800000.0,2023.pdf,14,high,FALSE
2018,FY,2023,2023,funding_by_vertical_size,vertical,Grocery delivery,grocery_delivery,all,usd,1200000.0,2023.pdf,14,high,FALSE
2018,FY,2023,2023,funding_by_vertical_size,vertical,Image process,image_process,all,usd,1100000.0,2023.pdf,14,high,FALSE
2018,FY,2023,2023,funding_by_vertical_size,vertical,Restaurant,restaurant,all,usd,2200000.0,2023.pdf,14,high,FALSE
2018,FY,2023,2023,funding_by_vertical_size,vertical,Retailtech,retailtech,all,usd,2700000.0,2023.pdf,14,high,FALSE
